Michael Laudrup trist over fyring fra Swansea; Sidst på eftermiddagen tirsdag fik han den kontante melding: Michael Laudrup indkasserede en fyreseddel som manager for Premier League-klubben Swansea efter blot halvanden sæson. Den foreløbige reaktion på sparket er ikke til at tage fejl af fra 49-årige Laudrup: - Trist dag, lyder den korte kommentar fra Michael i en mail til Ekstra Bladet. Fyringen kommer mindre end et år efter, at han ledte klubben til sin første pokaltriumf nogensinde – sejren i Capital One Cup. Men i denne sæson er det knebet mere med resultaterne. - Det er en beslutning, vi har taget modvilligt. Men den er taget i klubbens og supporternes bedste interesse, udtaler Swanseas bestyrelsesformand, Huw Jenkins, i en pressemeddelelse på klubbens hjemmeside. Michael Laudrup har brudt med fem klubber på syv år. ;Onsdag, 5. februar 2014
VIDEO: Lise Rønne, Pilou Asbæk og Nikolaj Koppel fortæller om værtsjobbet; Lise Rønne, Pilou Asbæk og Nikolaj Koppel skal være værter, når København i maj måned lægger hovedstad til de storslåede Eurovison Song Contest-show, der kulminerer med den store finale den 10. maj. Se videoen hvor trioen fortæller om, hvilke roller de hver især skal have, og om hvordan det var at blive castet til jobbet.  ;Tirsdag, 4. februar 2014
Benedikte Hansen: Jeg får altid de mørke roller;" Benedikte Hansen har gennem hele sin karriere fået roller, hvor hun skal træde ind i mørket. Det er nærmest blevet en naturlov for den 55-årige skuespiller, som netop nu er aktuel i forestillingen ""Hærværk"" på Det Kongelige Teater. - Mørket har været en følgesvend i hele mit liv. Både mit private liv og i mit liv på scenen. Hvis der findes arketyper i teatret, har jeg altid spillet den mørke. Den selvdestruktive, den passionerede, siger Benedikte Hansen til Det Kongelige Teaters magasin Akt. - Årsagen til, at jeg ofte har spillet den rolle er, at jeg ikke har så langt ind i mørket. Det bor i mig. Og så har det også noget med udstråling at gøre. Jeg har en dyb stemme, jeg er lang; jeg er ikke nogen lille sød pige, siger skuespilleren med den karakteristiske mørke stemme. En af hendes mest voldsomme roller var som Elektra i stykket ""Sorg klæder Elektra"" på Det Kongelige Teater. Ifølge Benedikte var Elektra så formørket, at det var grumt. - Nogle gange var vi skuespillere næsten nødt til at drikke os fulde efter forestillingen for overhovedet at holde tanken ud. Men det var en stakket frist, for det det var ikke så godt at spille fire en halv timers had med tømmermænd, fortæller Benedikte i magasinet.  ";Tirsdag, 4. februar 2014
Mette Walsted: Æder konflikterne efter skilsmissen;" Drømmen om kernefamilien brast, da DR-journalisten Mette Walsted Vestergaard blev skilt for et år siden og pludselig stod alene med sine to små børn, Agnes og Bastian. Men Mette Walsted Vestergaard er fast besluttet på at få det til at fungere med eksmanden, politisk kommentator Michael Kristiansen. - Man bliver jo ikke skilt, uden at der er konflikter. Men jeg prøver virkelig på at æde dem. Jeg siger ikke, at jeg er perfekt til det, men jeg bruger meget energi på at tænke ""langt lys på"" og ikke at hænge mig i, om børnene fik det forkerte til morgenmad. VI er stadig rammen om de her børns liv, siger Mette Walsted Vestergaard til magasinet Vores Børn. Hun og eksmanden har ikke fastlagte ""dine-og-mine-dage"", og de er enige om at vise børnene, Agnes på 3 år og Bastian på 1 år, at de står sammen om rammen for den nye hverdag. - Hvis man hele tiden hakker på hinanden, hvis stemningen er dårlig, så rokker man den ramme lidt hele tiden. Man skal tilsidesætte sig selv i høj grad, men det er ikke svært. Det kræver bare, at man beslutter sig for det, mener Mette Walsted Vestergaard, som i det daglige får hjælp af en au pair og bedsteforældre. ";Tirsdag, 4. februar 2014
Her er værterne ved Eurovision Song Contest i København; Kl.11.00 blev mange måneders spænding udløst, da Nikolaj Koppel, Lise Rønne og Pilou Asbæk blev afsløret som DR’s kommende værter ved Det Internationale Melodi Grand Prix til maj i København. Det var TV-Avisens Tine Gøtzsche, der afslørede dem på scenen i Odd Fellow Palæet. DR har taget sig rigtig godt tid til at finde de helt rigtige værter til dette ekstraordinære job, og Nikolaj Koppel, Lise Rønne og Pilou Asbæk var lykkelige for den store udfordring, der venter dem. Lige siden Emmelie de Forest vandt i Malmø, har jobbet som Eurovision-vært været det mest ombejlede værts-job i Danmark, og rigtig mange navne har været i spil. Enkelte værter har selv fortalt, at de har lagt billet ind på jobbet, men mange flere har ikke villet kommentere at de var interesseret eller har været til prøve i DR. Nikolaj Koppel, Lise Rønne og Pilou Asbæk skal i alt være værter ved ni shows med publikum i Hallerne på Refshaleøen. Seks generalprøver, to semifinaler og selve finalen d. 10. maj. ;Tirsdag, 4. februar 2014
Anders Breinholt hemmeligt gift med sin manager; TV 2-værten Anders Breinholt fra ”Natholdet” er nu også kommet med på bryllupsholdet. 41-årige Breinholt er nemlig blevet gift med sin kæreste og manager, Line Meldgaard, som mandag aften ændrede sin status på Facebook til ’gift’.  Line Meldgaard bekræfter i en sms til Her & Nu, at det er korrekt, at hun og Anders er blevet gift, og ifølge ugebladet fandt brylluppet sted for tre uger siden, da parret var på ferie i Thailand. I sommeren 2012 fortalte Anders Breinholt, at han var faldet for sin manager gennem det seneste års tid, Line Meldgaard, der har to små døtre.  Umiddelbart forinden var han gået fra kæresten Unni Ryding, som han har datteren Ellen Maj med. I juni flyttede Anders Breinholt og Line Melgaard under samme tag i en lejlighed på Østerbro – og nu har de så taget skridtet ind i ægteskabet. ;Tirsdag, 4. februar 2014
Jacob Riising: Fra ferie til MGP-vært; - Jeg er meget glad for, at Louise er så erfaren, og at jeg har prøvet det så mange gange før i børne-sammenhæng, for jeg kommer til at gå på scenen i Odense d. 8. marts nærmest med jet-lag. Jeg kommer nemlig først hjem fra ferie i Thailand tre dage før, så vi når stort set ikke at lave nogen prøver på showet, afslører DR’s ene vært på det Danske Melodi Grand Prix, Jacob Riising, 35 år.  Sammen med sin DR-kollega Louise Wolff, 35 år, skal han præsentere de 10 danske sange, der skal kæmpe om at blive Danmarks repræsentant ved det internationale Melodi Grand Prix til maj. Mere nerve og autenticitet  – Jeg blev glad, da DR spurgte, om jeg ville være vært ved MGP i Odense, men samtidig kunne jeg ikke se mig selv som den far, der sagde til sine tre små børn, at nu var ferien i Thailand, som de har glædet sig til i så lang tid, altså aflyst. Så jeg sagde ja på betingelse af, at jeg stadig kunne tage på ferie, fortæller Jacob Riising. – Louise og jeg kiggede derfor hinanden i øjnene og blev enige om, at det her kunne vi godt lave uden så mange prøver. Fordelen er også, at showet ikke bliver så indstuderet, men får mere nerve og autenticitet. Det håber jeg i hvert fald, griner Jacob. - Vi er nok de to værter i DR, der har dårligst tid. Jeg har lige lavet ”Danmarks Indsamlingen” og ”Året der gik”. Og så er der jo sygdom på Aftenshowet for øjeblikket. Sisse Fisker er sygemeldt, så jeg er jo konstant på arbejde. Heldigvis er der jo nogen, der laver et manuskript til os, så heldigvis behøver vi ikke så mange prøver forud. Men selvfølgelig skal vi nok være forberedte, når vi går på scenen, lover Louise Wolff. ;Tirsdag, 4. februar 2014
David Beckham: Nicolas Winding Refn pressede mig; I 2012 lancerede David Beckham undertøjslinjen Bodywear for H&M, og i år slog den tidligere fodboldspiller sig sammen med den danske instruktør Nicolas Winding Refn for at lave en reklamefilm. Det er et samarbejde, som har resulteret i en reklame på 31 sekunder, hvor 38-årige Beckham springer rundt på hustage i London, alt i mens han viser sin veltrænede krop frem i undertøj. - Nicolas pressede mig hårdt for at kunne skabe en actionfyldt film, som viser denne sæsons nye undertøjslinje, fortæller David Beckham ifølge Hello Magazine. Elsker danskeren I 2013 var det Guy Richie, som instruerede en reklamefilm for undertøjslinjen, men denne gang var sportsmanden fast besluttet på, at der skulle findes en ny instruktør. - Jeg har altid elsket Nicolas Winding Refns film, især ”Drive” og ”Only God Forgives”, så jeg var oppe at køre, da han sagde ja til at instruere den nye kampagne. Sammen blev vi enige om en actionfyldt historie med humor, hvor der også var plads til, at jeg kunne lave mine egne stunts, udtaler Beckham til Euroman og tilføjer: - Hans film er meget intense og actionprægede, men på samme tid er de også ekstremt stilfulde. Nicolas formår at fylde rigtig meget indhold ind i sine film uden, at det virker overgjort. Han var den perfekte til at lave den nye reklame. Se videoen fra optagelserne, hvor Nicolas Winding Refn fortæller om samarbejdet med David Beckham:  ;Mandag, 3. februar 2014
Diadem fra Downton Abbey udlejes;" Hvis du snart skal stå hvid brud og gerne vil lege lady Mary fra serie-succesen ""Downton Abbey"" for en dag, så kan du nu leje det smukke diadem, som den ældste Crawley-datter bar til sit bryllup med Matthew Crawley i den populære TV-series tredje sæson. Det er den eksklusive smykkebutik Bentley & Skinner i London, som udlejer det 45 karats diamantdiadem – men det er bestemt ikke gratis. Butikken kræver nemlig, at man punger ud med over 1,1 millioner kroner i depositum. Derudover koster det omkring 15.000 kroner per dag at leje diademet, skriver Daily Mail. Populær i USA - Amerikanerne er specielt interesserede i diademet, fordi ”Downton Abbey” er meget populær derovre, siger en kilde til den britiske avis. Da Michelle Dockery, der spiller lady Mary, indspillede bryllupsscenen i serien, fortalte hun, at hun følte sig kongelig som hertuginde Catherine.  Se lady Mary Crawley med diademet her. ";Mandag, 3. februar 2014
Medina om sin nye single: Handler ikke om Christopher; I sidste uge bekræftede Medina over for BILLED-BLADET, at hun og kæresten Christopher er gået fra hinanden efter knap to år sammen. Mandag den 3. februar udkom hendes nye single ”Jalousi”, og det har sat spekulationerne i gang om, hvorvidt teksten er inspireret af bruddet med den 10 år yngre kæreste.   Medina benægtede dog, at sangen har noget med Christopher at gøre, da hun lørdag aften optrådte med sit nye hit til det store Danmarks Indsamling-show på DR 1. Synger om følelser - Nej, det har den ikke. Den handler om en følelse, vi alle sammen har. Den der søde jalousi som vi alle kan gå rundt med, når man har en partner. Den handler ikke om den forfærdelige jalousi, men den gode, fortæller Medina ifølge BT. ”Jalousi” er popstjernens første single på dansk i omkring halvandet år.  ;Mandag, 3. februar 2014
